date,temperature
1/1/18,55.58
1/2/18,59.72
1/3/18,60.62
1/4/18,61.88
1/5/18,63.5
1/6/18,62.24
1/7/18,62.6
1/8/18,63.86
1/9/18,60.44
1/10/18,56.12
1/11/18,58.1
1/12/18,59.72
1/13/18,64.94
1/14/18,70.34
1/15/18,62.78
1/16/18,60.62
1/17/18,62.24
1/18/18,62.42
1/19/18,62.24
1/20/18,58.82
1/21/18,54.14
1/22/18,55.94
1/23/18,59.72
1/24/18,61.52
1/25/18,56.84
1/26/18,56.12
1/27/18,58.28
1/28/18,65.66
1/29/18,71.96
1/30/18,71.78
1/31/18,64.58
2/1/18,61.88
2/2/18,64.22
2/3/18,64.94
2/4/18,63.32
2/5/18,62.06
2/6/18,59.72
2/7/18,61.34
2/8/18,64.58
2/9/18,61.52
2/10/18,60.62
2/11/18,59.54
2/12/18,60.44
2/13/18,57.2
2/14/18,61.34
2/15/18,62.24
2/16/18,61.88
2/17/18,61.88
2/18/18,59.9
2/19/18,57.02
2/20/18,51.26
2/21/18,53.06
2/22/18,53.42
2/23/18,54.86
2/24/18,52.16
2/25/18,55.04
2/26/18,55.76
2/27/18,53.96
2/28/18,50.54
3/1/18,54.32
3/2/18,55.94
3/3/18,56.66
3/4/18,54.14
3/5/18,58.46
3/6/18,63.14
3/7/18,61.52
3/8/18,60.44
3/9/18,61.16
3/10/18,60.08
3/11/18,60.44
3/12/18,63.32
3/13/18,63.14
3/14/18,62.42
3/15/18,60.26
3/16/18,57.56
3/17/18,57.92
3/18/18,54.68
3/19/18,60.08
3/20/18,62.96
3/21/18,62.78
3/22/18,64.76
3/23/18,61.16
3/24/18,58.82
3/25/18,58.28
3/26/18,57.74
3/27/18,62.06
3/28/18,62.78
3/29/18,62.42
3/30/18,61.88
3/31/18,60.44
4/1/18,59.54
4/2/18,61.34
4/3/18,62.42
4/4/18,60.08
4/5/18,59.9
4/6/18,62.78
4/7/18,63.5
4/8/18,63.5
4/9/18,70.34
4/10/18,72.86
4/11/18,68.9
4/12/18,64.22
4/13/18,66.2
4/14/18,69.26
4/15/18,66.92
4/16/18,62.78
4/17/18,60.08
4/18/18,61.7
4/19/18,59.18
4/20/18,60.98
4/21/18,66.38
4/22/18,66.74
4/23/18,64.76
4/24/18,60.98
4/25/18,62.78
4/26/18,60.98
4/27/18,60.44
4/28/18,61.52
4/29/18,62.78
4/30/18,61.7
5/1/18,59.18
5/2/18,58.46
5/3/18,61.16
5/4/18,68.36
5/5/18,70.88
5/6/18,68.72
5/7/18,63.68
5/8/18,62.78
5/9/18,64.94
5/10/18,65.12
5/11/18,62.78
5/12/18,61.52
5/13/18,63.14
5/14/18,63.32
5/15/18,62.78
5/16/18,62.96
5/17/18,62.78
5/18/18,63.14
5/19/18,62.96
5/20/18,63.68
5/21/18,62.96
5/22/18,62.96
5/23/18,63.32
5/24/18,62.78
5/25/18,63.5
5/26/18,63.32
5/27/18,64.4
5/28/18,64.76
5/29/18,63.86
5/30/18,62.78
5/31/18,65.84
6/1/18,64.76
6/2/18,67.46
6/3/18,69.62
6/4/18,66.02
6/5/18,63.86
6/6/18,66.38
6/7/18,65.84
6/8/18,68.72
6/9/18,69.62
6/10/18,69.62
6/11/18,70.52
6/12/18,70.52
6/13/18,69.62
6/14/18,69.8
6/15/18,69.8
6/16/18,66.38
6/17/18,64.58
6/18/18,65.84
6/19/18,66.74
6/20/18,66.56
6/21/18,66.38
6/22/18,68.36
6/23/18,65.84
6/24/18,65.12
6/25/18,67.82
6/26/18,69.08
6/27/18,68.54
6/28/18,68.36
6/29/18,68
6/30/18,68
7/1/18,67.28
7/2/18,70.34
7/3/18,69.08
7/4/18,70.52
7/5/18,72.86
7/6/18,81.86
7/7/18,83.3
7/8/18,79.52
7/9/18,78.44
7/10/18,75.74
7/11/18,76.46
7/12/18,77.54
7/13/18,76.46
7/14/18,75.92
7/15/18,74.66
7/16/18,74.66
7/17/18,74.12
7/18/18,74.12
7/19/18,74.3
7/20/18,75.02
7/21/18,75.02
7/22/18,76.1
7/23/18,78.26
7/24/18,78.62
7/25/18,77
7/26/18,73.22
7/27/18,73.94
7/28/18,74.48
